     ,x,y,z
gear a up,-182.51,-181.6,-181.04
gear a down,-173.64,-175.9,-178.69
     ,x,y,z
TypeA_upper_gear,-183.43,-189.07,-180.08
TypeA_lower_gear,-182.82,-174.84,-176.71
